id	centroid	lumen_area	lumen_peri	lumen_aoma_rad	lumen_diam_rad	lumen_diam_tang	cell_area	cw_peri	CWT_pith	CWT_left	CWT_right	CWT_bark	cluster
101	(1475, 49)	193.96844495332726	65.49297208828023	104.53045654296875	9.070695634573099	23.408474041159362	591.7056414834366	125.99118942731278	13.554765	49.982323	27.2285	15.296982	13
102	(1461, 422)	546.294319703468	113.36479859205069	104.14701080322266	19.600004398282767	37.1922500878538	861.8447864309418	150.66079295154185	9.823247	22.865839	9.118195	8.895727	2
103	(1459, 222)	382.40602379242756	78.92261134370308	101.8116455078125	17.06706978340026	29.22176339154922	876.593762735547	137.44493392070484	16.802208	26.287338	52.273582	12.31854	13
104	(1447, 327)	295.7557880028722	73.31559742074705	96.66761016845703	12.763234463590726	30.898515946367123	739.3894700071804	128.63436123348018	13.335888	52.098248	24.418182	15.105651	2
105	(1443, 56)	207.35896291408721	64.24696897094995	101.54082489013672	10.202844037243382	24.801348484954758	541.4426827611636	123.34801762114537	9.667169	51.722473	24.518074	12.403414	13
106	(1443, 136)	344.3691901647616	80.10599986046947	95.57666015625	13.27411938265078	35.04614403091679	740.1657319179492	125.99118942731278	15.39975	25.18052	27.310455	16.04684	2
107	(1446, 482)	299.2489666013313	68.18041943243422	0.7441165447235107	23.004767888298538	20.49226370004515	422.6746104135535	91.62995594713657	9.550242	15.639842	0.0	7.571866	2
108	(1411, 222)	298.86083564594696	70.88620589168062	101.70101928710938	14.10704422600099	26.883949470796544	774.9034524248482	128.63436123348018	15.622793	28.412376	51.68924	16.678131	13
109	(1408, 327)	307.10861844786433	74.366159481099	100.8237075805664	13.292377125395014	28.748610578364126	710.6677793087388	128.63436123348018	12.361517	49.955837	21.452639	12.659438	2
110	(1408, 55)	342.04040443245555	75.54954794535027	100.86415100097656	15.17465527003921	29.23580858024997	631.489064410332	124.22907488986785	11.873889	26.153452	22.767038	8.527551	13
111	(1411, 416)	518.1548254381029	90.91080694996838	94.78474426269531	20.11579359694011	34.39077884913841	803.4310776455976	134.80176211453744	12.525298	21.25139	15.29784	9.230872	2
112	(1399, 136)	380.65943449319803	83.47906331133737	97.89179229736328	14.242126829440696	34.747246264272086	772.1865357371578	128.63436123348018	13.502449	23.493584	28.393225	15.336641	2
113	(1386, 454)	39.88045566574162	24.687942744351695	170.79617309570312	8.81076670463266	6.07521922950986	109.06479846300142	51.98237885462555	12.0854435	12.703884	7.2410827	11.912685	2
114	(1388, 4)	46.381649168429426	41.6860865601359	175.4341278076172	12.994580069451152	7.345808887678408	212.88982902831415	79.29515418502203	19.416925	3.522414	16.20886	49.871613	13
115	(1382, 370)	108.67666750761707	40.50269814839972	3.4623208045959473	14.954166073993985	9.627633258864376	232.49044227522367	76.65198237885463	11.796723	13.211205	13.175511	15.097231	2
116	(1383, 481)	370.7620951308972	93.90058501701523	162.95875549316406	29.012914978965	18.955941119385223	535.4266529527063	117.1806167400881	11.256378	9.91733	0.0	9.854178	2
117	(1363, 324)	367.6570474878224	75.03343652523562	102.37483978271484	18.704756762971357	26.230848707861703	786.9355120417629	125.1101321585903	16.744724	53.13954	11.055923	12.612615	2
118	(1362, 53)	390.5567738554989	78.04155418001082	105.65328216552734	18.146160201761955	28.32951001136763	705.0398804556658	123.34801762114537	11.983678	21.216646	22.880068	11.299731	13
119	(1347, 3)	14.26381261037474	16.33086682416269	167.75723266601562	5.64012267952976	4.160940098521186	117.2155485260727	48.458149779735685	31.823301	1.9736743	20.542202	23.319248	14
120	(1361, 220)	452.26959576161	84.78768118677685	105.7286148071289	19.503793888405752	29.809607693761635	1007.7820256554562	142.73127753303964	15.278845	26.227789	53.03074	16.523968	13
121	(1353, 133)	453.23992315007087	87.2170727683584	99.98715209960938	16.961001990167826	35.05936046807078	825.9426730578898	131.27753303964758	12.4176	22.472696	25.313328	13.258922	2
122	(1353, 417)	542.5100428884706	90.59013621922631	89.4371337890625	25.36265028580149	30.60552292101775	795.0862621048342	126.87224669603525	9.301941	12.578863	12.420967	12.351374	2
